ID,G_parent,parent,type,tissue_collected,D_extracted,days_to_radicle,GR.M2.date,GR.cm.dy,GR.days,total_growth,notes,date,thick.1,thick.2,thick.3,tough.1,tough.2,tough.3,area,wet.g,wet.date,dry.g,dry.date,tmp.ldmc,N_wght_p_GREEN,N_wght_p_DEAD,DD_date_start,PER1_start,PER2_start,Grn.SPAD_start,date_end,PER1_end,PER2_end,Dry.SPAD_end,C_wght_p_GREEN,C_wght_p_DEAD
165_009_100,165,165_009,F3,y,y,21,6/6/22,0.65,26,16.9,,7/25/22,0.397,0.421,0.528,60,106,168,40.74,1.73,8/1/22,0.21,8/5/22,0.121387283,3.19,1.61,8/1/22,3331,3187,49.6,9/9/22,2003,2009,11.1,38.89,38.85
165_009_102,165,165_009,F3,y,y,21,6/13/22,0.6,26,15.7,,8/7/22,0.432,0.502,0.709,88,124,142,32.62,1.57,8/5/22,0.15,8/10/22,0.095541401,3.419,NA,8/8/22,3790,3698,54,9/12/22,2029,2018,21.8,37.875,NA
165_009_103,165,165_009,F3,y,y,21,6/13/22,0.45,26,11.8,,8/7/22,0.386,0.491,0.583,52,116,136,37.73,1.63,8/5/22,0.17,8/10/22,0.104294479,3.592,1.87,8/8/22,3350,3752,53.6,9/1/22,2068,2061,31.7,36.2,37.53
165_009_104,165,165_009,F3,y,y,21,6/6/22,0.65,26,16.9,,7/25/22,0.369,0.424,0.519,76,94,136,28.2,1.29,8/1/22,0.11,8/5/22,0.085271318,4.14,2.79,8/1/22,3003,2998,55.6,9/9/22,2011,2014,24.3,38.32,37.44
165_009_105,165,165_009,F3,y,y,23,6/13/22,0.95,26,24.7,,8/7/22,0.411,0.462,0.574,66,74,136,27.9,1.27,8/5/22,0.14,8/10/22,0.11023622,3.232,1.77,8/8/22,4004,3838,54.4,9/9/22,2041,2068,14.8,37.78,45.97
165_009_106,165,165_009,F3,y,y,23,6/6/22,0.5,26,12.9,,7/25/22,0.384,0.402,0.473,68,104,152,34.45,1.64,8/1/22,0.21,8/5/22,0.12804878,3.21,1.86,8/1/22,3133,3191,54.2,9/9/22,2006,2029,18.4,39.7,38.72
165_009_107,165,165_009,F3,y,y,23,6/13/22,0.57,26,14.7,,8/7/22,0.438,0.461,0.668,88,108,182,30.19,1.45,8/5/22,0.14,8/10/22,0.096551724,4.066,1.75,8/8/22,3597,3915,58.8,9/5/22,2014,2021,23.1,36.694,38.01
165_009_108,165,165_009,F3,y,y,23,6/13/22,0.95,26,24.8,,8/7/22,0.445,0.477,0.568,106,134,176,31.81,1.45,8/5/22,0.15,8/10/22,0.103448276,4.03,1.75,8/8/22,3459,3411,54.3,9/9/22,2042,2029,22.3,39.527,39.68
165_009_109,165,165_009,F3,y,y,23,6/13/22,0.7,26,18.2,,8/7/22,0.431,0.452,0.594,48,90,106,44.25,1.84,8/5/22,0.2,8/10/22,0.108695652,4.284,2.57,8/8/22,3741,3834,47.5,8/29/22,2162,2185,14.6,37.165,38.24
165_009_110,165,165_009,F3,y,y,23,6/6/22,0.53,26,13.7,,7/25/22,0.396,0.451,0.513,64,94,120,34.66,1.36,8/1/22,0.17,8/5/22,0.125,3.91,3.02,8/1/22,3786,4078,56.2,9/12/22,2021,2021,36.6,38.87,39.2
165_009_111,165,165_009,F3,y,y,23,6/13/22,0.86,26,22.3,,8/7/22,0.361,0.463,0.588,44,76,154,32.59,1.35,8/5/22,0.16,8/10/22,0.118518519,3.69,1.44,8/8/22,3247,3206,49.3,9/1/22,2079,2069,18.8,38.004,37.48
165_009_112,165,165_009,F3,y,y,23,6/6/22,0.75,26,19.6,,7/25/22,0.363,0.402,0.531,58,102,122,45.5,2.05,8/1/22,0.23,8/5/22,0.112195122,3.28,2.07,8/1/22,2980,3271,53.2,9/5/22,2005,2008,21.2,38.86,38.27
165_009_113,165,165_009,F3,y,y,23,6/13/22,0.62,26,16,,8/7/22,0.377,0.425,0.569,56,100,130,29.02,1.11,8/5/22,NA,8/10/22,#VALUE!,4.002,NA,8/8/22,3346,3348,44.9,9/19/22,2010,2011,11.6,39.113,NA
165_009_114,165,165_009,F3,y,y,23,6/6/22,0.55,26,14.2,,7/25/22,0.372,0.415,0.543,62,104,116,31.33,1.42,8/1/22,0.15,8/5/22,0.105633803,3.95,2.63,8/1/22,2654,2654,54.2,9/5/22,2005,2002,17.2,37.21,37.8
165_009_12,165,165_009,F3,y,y,14,5/16/22,0.37,26,9.6,,6/17/22,0.439,0.519,0.661,44,76,88,73.98,3.13,6/11/22,0.39,7/15/22,0.124600639,3.43,2.11,7/11/22,2377,2468,62,8/8/22,2024,2034,11.2,39.1,39.07
165_009_13,165,165_009,F3,y,y,14,5/16/22,0.2,26,6,,6/17/22,0.365,0.449,0.518,26,104,130,50.2,1.96,6/11/22,0.25,6/15/22,0.12755102,3.89,2.23,7/11/22,2648,2773,48.9,8/8/22,2014,2013,33.4,40.31,38.23
165_009_134,165,165_009,F3,y,y,25,6/13/22,0.83,26,21.5,,8/7/22,0.36,0.409,0.49,30,72,162,24.34,0.99,8/5/22,0.12,8/10/22,0.121212121,3.955,2.26,8/8/22,2937,2817,50.4,8/29/22,2051,2060,30.2,38.271,38.83
165_009_135,165,165_009,F3,y,y,25,6/13/22,0.55,26,14.3,,8/7/22,0.405,0.462,0.542,64,94,140,44.31,2.01,8/5/22,0.22,8/10/22,0.109452736,4.809,2.57,8/8/22,2704,2755,60.8,9/5/22,2024,2025,28.2,40.331,39.83
165_009_136,165,165_009,F3,y,y,25,6/20/22,0.77,26,20.1,,8/15/22,0.397,0.483,0.556,86,112,136,32.67,1.43,8/13/22,0.15,8/17/22,0.104895105,4.659,1.963,8/15/22,2985,3132,54.1,9/16/22,2055,2049,33,39.449,37.2
