info,Samp_ID,samp_mg,Ntime_min,N_resp,N_wght_mg,N_wght_p,ele_N,NC_resp_r,Ctime_min,C_resp,C_wght_mg,C_wght_p,ele_C,CC_resp_r,,,,,
165-009-100-GREEN_8_17_2023 4_09_22 PM_056,165-009-100-GREEN,3.497,1.844,274.289,0.111,3.19,Nitrogen,0.032,2.973,8654.414,1.36,38.89,Carbon,1,,,,,
165-009-103 DEAD_8_24_2023 4_46_44 PM_078,165-009-103-DEAD,4.262,1.853,191.548,0.08,1.87,Nitrogen,0.019,2.956,10042.388,1.6,37.53,Carbon,1,,,,,
165-009-104-GREEN_8_17_2023 3_09_12 PM_046,165-009-104-GREEN,3.11,1.844,318.629,0.129,4.14,Nitrogen,0.042,3,7626.843,1.192,38.32,Carbon,1,,,,,
165-009-105 DEAD_8_24_2023 6_59_06 PM_100,165-009-105 DEAD,3.191,1.849,133.766,0.056,1.77,Nitrogen,0.014,2.96,9250.894,1.467,45.97,Carbon,1,,,,,
165-009-106-GREEN_8_17_2023 2_57_10 PM_044,165-009-106-GREEN,3.487,1.853,275.308,0.112,3.21,Nitrogen,0.031,2.987,8801.726,1.384,39.7,Carbon,1,,,,,
165-009-107 DEAD_8_24_2023 6_23_00 PM_094,165-009-107 DEAD,4.028,1.84,168.879,0.07,1.75,Nitrogen,0.018,2.947,9634.41,1.531,38.01,Carbon,1,,,,,
165-009-108 DEAD_8_24_2023 5_58_56 PM_090,165-009-108 DEAD,3.895,1.849,162.794,0.068,1.75,Nitrogen,0.017,2.951,9720.672,1.545,39.68,Carbon,1,,,,,
165-009-109 DEAD_8_24_2023 5_10_48 PM_082,165-009-109 DEAD,4.119,1.853,257.947,0.106,2.57,Nitrogen,0.026,2.96,9897.638,1.575,38.24,Carbon,1,,,,,
165-009-110-GREEN_8_17_2023 3_33_16 PM_050,165-009-110-GREEN,3.15,1.844,304.383,0.123,3.91,Nitrogen,0.039,2.996,7827.862,1.225,38.87,Carbon,1,,,,,
165-009-111 DEAD_8_24_2023 6_41_03 PM_097,165-009-111 DEAD,3.053,1.844,102.472,0.044,1.44,Nitrogen,0.014,2.996,7297.642,1.144,37.48,Carbon,1,,,,,
165-009-112_GREEN_8_23_2023 2_04_33 PM_052,165-009-112_GREEN,165-009B-116_GREEN,3.384,3.054,1.836,321.339,0.131,4.29,3.88,Nitrogen,0.042,2.987,7610.11,1.189,38.93,35.14,,,
165-009-114_GREEN_8_23_2023 1_28_19 PM_046,165-009-114_GREEN,,3.2,,1.84,309.474,0.127,,3.95,Nitrogen,0.041,2.996,7620.632,1.191,,37.21,,,
165-009-12_GREEN_8_24_2023 10_28_52 AM_018,165-009-12_GREEN,3.075,1.84,256.583,0.105,3.43,Nitrogen,0.034,2.987,7651.355,1.202,39.1,Carbon,1,,,,,
165-009-13_GREEN_8_24_2023 11_17_01 AM_026,165-009-13_GREEN,3.118,1.831,296.698,0.121,3.89,Nitrogen,0.037,2.969,7984.041,1.257,40.31,Carbon,1,,,,,
165-009-134 DEAD_8_24_2023 6_16_59 PM_093,165-009-134 DEAD,3.9,1.844,213.244,0.088,2.26,Nitrogen,0.022,2.956,9535.686,1.514,38.83,Carbon,1,,,,,
165-009-135 DEAD_8_24_2023 6_53_05 PM_099,165-009-135 DEAD,3.926,1.84,245.48,0.101,2.57,Nitrogen,0.025,2.947,9828.645,1.564,39.83,Carbon,1,,,,,
165-009-137 DEAD_8_24_2023 6_04_57 PM_091,165-009-137 DEAD,4.491,1.844,211.7,0.088,1.95,Nitrogen,0.019,2.933,10860.529,1.738,38.7,Carbon,1,,,,,
165-009-144 DEAD_8_24_2023 7_05_07 PM_101,165-009-144 DEAD,4.321,1.844,211.992,0.088,2.03,Nitrogen,0.02,2.938,10356.287,1.652,38.24,Carbon,1,,,,,
165-009-146 DEAD_8_25_2023 2_35_15 PM_042,165-009-146 DEAD,4.464,1.867,213.452,0.088,1.96,Nitrogen,0.02,2.973,10472.881,1.667,37.34,Carbon,1,,,,,
165-009-15 -DRY_8_9_2023 3_54_14 PM_056,165-009-15 -DRY,4.771,1.88,233.684,0.094,1.98,Nitrogen,0.021,2.96,11167.943,1.77,37.1,Carbon,1,,,,,
165-009-15_GREEN_8_24_2023 10_52_56 AM_022,165-009-15_GREEN,3.155,1.84,247.061,0.102,3.22,Nitrogen,0.032,2.987,7666.876,1.205,38.19,Carbon,1,,,,,
165-009-163 DEAD_8_24_2023 5_28_51 PM_085,165-009-163 DEAD,4.304,1.849,162.071,0.068,1.57,Nitrogen,0.021,3,7821.371,1.23,28.58,Carbon,1,,,,,
165-009-164_GREEN_8_22_2023 8_56_23 PM_110,165-009-164_GREEN,3.382,1.844,260.751,0.107,3.16,Nitrogen,0.032,2.978,8258.566,1.305,38.59,Carbon,1,,,,,
