"","species","ID","N_wght_p_GREEN","N_wght_p_DEAD","C_wght_p_GREEN","C_wght_p_DEAD"
"1","F3","165_009_100",3.19,1.61,38.89,38.85
"2","F3","165_009_103",NA,1.87,NA,37.53
"3","F3","165_009_104",4.14,2.79,38.32,37.44
"4","F3","165_009_105",NA,1.77,NA,45.97
"5","F3","165_009_106",3.21,1.86,39.7,38.72
"6","F3","165_009_107",NA,1.75,NA,38.01
"7","F3","165_009_108",NA,1.75,NA,39.68
"8","F3","165_009_109",NA,2.57,NA,38.24
"9","F3","165_009_110",3.91,3.02,38.87,39.2
"10","F3","165_009_111",NA,1.44,NA,37.48
"11","F3","165_009_112",3.28,2.07,38.86,38.27
"12","F3","165_009_114",3.95,2.63,37.21,37.8
"13","F3","165_009_12",3.43,2.11,39.1,39.07
"14","F3","165_009_13",3.89,2.23,40.31,38.23
"15","F3","165_009_134",NA,2.26,NA,38.83
"16","F3","165_009_135",NA,2.57,NA,39.83
"17","F3","165_009_137",NA,1.95,NA,38.7
"18","F3","165_009_14",3.19,2.08,38.1,39.88
"19","F3","165_009_144",NA,2.03,NA,38.24
"20","F3","165_009_146",NA,1.96,NA,37.34
"21","F3","165_009_15",3.22,NA,38.19,NA
"22","F3","165_009_15 ",NA,1.98,NA,37.1
"23","F3","165_009_163",NA,1.57,NA,28.58
"24","F3","165_009_164",3.16,1.43,38.59,37.42
"25","F3","165_009_165",3.12,1.57,38.65,36.32
"26","F3","165_009_17",3.45,2.13,37.53,36.43
"27","F3","165_009_172",2.41,1.52,37.68,36.3
"28","F3","165_009_173",NA,1.79,NA,38.39
"29","F3","165_009_176",3.46,1.67,38.94,36.92
"30","F3","165_009_178",NA,1.83,NA,36.23
"31","F3","165_009_18",4.02,2.2,38.83,38.01
"32","F3","165_009_185",3.13,1.57,39.45,39.29
"33","F3","165_009_186",3.8,1.8,37.61,37.04
"34","F3","165_009_188",3.15,1.64,39.8,40.01
"35","F3","165_009_189",3.52,1.75,40.3,39.85
"36","F3","165_009_19",3.46,1.99,38.79,36.99
"37","F3","165_009_194",2.73,1.68,40.24,40.49
"38","F3","165_009_195",2.35,1.12,39.28,39.43
"39","F3","165_009_198",2.63,0.96,40,38.81
"40","F3","165_009_199",NA,1.41,NA,38.78
"41","F3","165_009_20",3.15,2.08,38.06,36.99
"42","F3","165_009_200",3.81,1.85,40.87,39.7
"43","F3","165_009_21",3.58,2.05,37.82,36.91
"44","F3","165_009_22",3.6,2.24,38.65,38.06
"45","F3","165_009_23",3.28,2.01,38.41,37.31
"46","F3","165_009_24",3.96,2.46,39.28,38.77
"47","F3","165_009_25",3.56,2.22,37.51,36.88
"48","F3","165_009_26",3.4,2.25,38.29,36.89
"49","F3","165_009_27",3.49,2.1,38.76,38.37
"50","F3","165_009_45",3.91,2.3,38.17,36.79
"51","F3","165_009_46",3.2,2.42,38.55,38.79
"52","F3","165_009_47",3.34,2.05,37.68,36.45
"53","F3","165_009_49",3.79,2.7,38.45,38.15
"54","F3","165_009_50",3.96,3.33,38.04,37.01
"55","F3","165_009_51",3.52,2.45,37.97,36.52
"56","F3","165_009_52",NA,1.61,NA,35.68
"57","F3","165_009_53",3.37,1.99,38.36,36.82
"58","F3","165_009_54",3.75,2.51,37.45,37.01
