"ID","GREEN","DEAD"
"165_009_102",3.419,NA
"165_009_103",3.592,1.87
"165_009_105",3.232,1.77
"165_009_107",4.066,1.75
"165_009_108",4.03,1.75
"165_009_109",4.284,2.57
"165_009_111",3.69,1.44
"165_009_113",4.002,NA
"165_009_134",3.955,2.26
"165_009_135",4.809,2.57
"165_009_136",4.659,1.963
"165_009_137",4.203,1.95
"165_009_144",3.711,2.03
"165_009_145",3.909,1.409
"165_009_146",3.957,1.96
"165_009_16",4.46,2.101
"165_009_163",3.604,1.57
"165_009_173",4.602,1.79
"165_009_177",4.384,1.579
"165_009_178",4.226,1.83
"165_009_202",3.551,1.35
"165_009_210",4.078,2.258
"165_009_220",4.438,2.587
"165_009_48",4.464,2.656
"165_009_87",3.61,2.96
"165_009_98",4.412,NA
"165_009B_03",3.928,2.034
"165_009B_106",3.82,NA
"165_009B_107",3.617,NA
"165_009B_11",4.304,2.015
"165_009B_110",3.713,1.9
"165_009B_115",3.684,NA
"165_009B_117",4.861,3.36
"165_009B_121",3.567,2.06
"165_009B_122",3.685,NA
"165_009B_123",3.117,2.93
"165_009B_130",3.738,NA
"165_009B_132",4.652,NA
"165_009B_138",4.108,NA
"165_009B_139",4.452,2.496
"165_009B_14",4.104,2.29
"165_009B_140",3.94,2.751
"165_009B_142",3.596,1.532
"165_009B_143",4.323,2.41
"165_009B_147",4.402,1.771
"165_009B_149",3.715,2.17
"165_009B_150",3.618,1.86
"165_009B_151",3.823,1.305
"165_009B_152",4.498,1.977
"165_009B_154",4.058,1.73
"165_009B_155",4.249,1.63
"165_009B_156",3.575,1.869
"165_009B_157",3.1,1.741
"165_009B_160",3.644,1.932
"165_009B_161",3.608,1.729
"165_009B_166",5.209,2.52
"165_009B_167",4.622,1.708
"165_009B_169",4.413,2.26
"165_009B_171",3.914,2.02
"165_009B_179",3.73,1.211
"165_009B_209",4.582,2.414
"165_009B_214",3.92,1.928
"165_009B_218",4.578,1.952
"165_009B_219",3.787,1.653
"165_009B_39",4.292,1.67
"165_009B_60",3.641,1.586
"165_16C_53",3.325,1.048
"165_16C_66",3.839,1.102
"165_19_12",5.116,2.015
"165_19_13",5.5,2.3
"165_19_15",4.368,1.536
"165_19_16",3.689,1.737
"165_19_19",4.268,0.834
"165_19_21",5.227,NA
"165_19_212",4.033,NA
"165_19_22",4.842,1.468
"165_19_23",3.907,1.471
"165_19_27",3.986,1.434
"165_19_5",5.632,NA
"165_19_8",4.83,1.846
"165_19_9",NA,1.927
"165_25B_41",3.689,1.886
"165_25B_42",3.026,1.273
"165_25B_45",4.031,1.81
"165_25B_46",3.044,1.109
"165_25B_47",3.307,1.424
"165_25B_50",3.755,2.451
"165_25B_51",3.568,2.072
"165_25B_56",5.161,NA
"165_25B_57",4.484,2.652
"165_26B_215",3.376,1.16
"165_26B_230",NA,1.595
"165_26B_231",4.583,NA
"165_26B_233",3.823,1.765
"165_26B_235",4.623,2.161
"165_26B_237",3.616,NA
"165_26B_42",3.515,NA
"165_26D_213",3.676,2.25
"165_26D_216",3.732,2.21
"165_26D_218",4.041,NA
"165_26E_202",3.357,NA
"165_26E_214",3.508,1.76
"165_26E_215",NA,1.721
